image_name,vlm_prediction,ground_truth
guatemala-volcano_00000000_post_disaster.png,minor-damage,no-damage
guatemala-volcano_00000001_post_disaster.png,destroyed,minor-damage
guatemala-volcano_00000002_post_disaster.png,destroyed,destroyed
guatemala-volcano_00000006_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000007_post_disaster.png,destroyed,no-damage
guatemala-volcano_00000010_post_disaster.png,destroyed,destroyed
guatemala-volcano_00000013_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000015_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000016_post_disaster.png,minor-damage,no-damage
guatemala-volcano_00000017_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000018_post_disaster.png,major-damage,no-damage
guatemala-volcano_00000019_post_disaster.png,minor-damage,no-damage
guatemala-volcano_00000023_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000024_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000025_post_disaster.png,destroyed,un-classified
guatemala-volcano_00000026_post_disaster.png,no-damage,no-damage
guatemala-volcano_00000027_post_disaster.png,no-damage,no-damage
hurricane-florence_00000000_post_disaster.png,no-damage,no-damage
hurricane-florence_00000001_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000002_post_disaster.png,no-damage,no-damage
hurricane-florence_00000003_post_disaster.png,no-damage,no-damage
hurricane-florence_00000008_post_disaster.png,no-damage,no-damage
hurricane-florence_00000012_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000015_post_disaster.png,no-damage,no-damage
hurricane-florence_00000016_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000018_post_disaster.png,minor-damage,major-damage
hurricane-florence_00000020_post_disaster.png,no-damage,no-damage
hurricane-florence_00000022_post_disaster.png,destroyed,major-damage
hurricane-florence_00000023_post_disaster.png,destroyed,no-damage
hurricane-florence_00000024_post_disaster.png,no-damage,no-damage
hurricane-florence_00000026_post_disaster.png,no-damage,no-damage
hurricane-florence_00000027_post_disaster.png,major-damage,no-damage
hurricane-florence_00000028_post_disaster.png,no-damage,no-damage
hurricane-florence_00000030_post_disaster.png,no-damage,no-damage
hurricane-florence_00000031_post_disaster.png,no-damage,no-damage
hurricane-florence_00000032_post_disaster.png,no-damage,no-damage
hurricane-florence_00000036_post_disaster.png,destroyed,no-damage
hurricane-florence_00000037_post_disaster.png,no-damage,no-damage
hurricane-florence_00000042_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000043_post_disaster.png,no-damage,destroyed
hurricane-florence_00000044_post_disaster.png,no-damage,no-damage
hurricane-florence_00000045_post_disaster.png,no-damage,no-damage
hurricane-florence_00000048_post_disaster.png,no-damage,major-damage
hurricane-florence_00000049_post_disaster.png,destroyed,major-damage
hurricane-florence_00000051_post_disaster.png,minor-damage,major-damage
hurricane-florence_00000053_post_disaster.png,no-damage,no-damage
hurricane-florence_00000054_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000055_post_disaster.png,major-damage,major-damage
hurricane-florence_00000057_post_disaster.png,no-damage,un-classified
hurricane-florence_00000059_post_disaster.png,no-damage,no-damage
hurricane-florence_00000060_post_disaster.png,no-damage,no-damage
hurricane-florence_00000061_post_disaster.png,no-damage,no-damage
hurricane-florence_00000062_post_disaster.png,no-damage,no-damage
hurricane-florence_00000063_post_disaster.png,no-damage,no-damage
hurricane-florence_00000064_post_disaster.png,no-damage,no-damage
hurricane-florence_00000065_post_disaster.png,destroyed,major-damage
hurricane-florence_00000066_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000067_post_disaster.png,no-damage,no-damage
hurricane-florence_00000069_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000070_post_disaster.png,minor-damage,major-damage
hurricane-florence_00000072_post_disaster.png,major-damage,major-damage
hurricane-florence_00000073_post_disaster.png,no-damage,no-damage
hurricane-florence_00000075_post_disaster.png,no-damage,no-damage
hurricane-florence_00000078_post_disaster.png,destroyed,major-damage
hurricane-florence_00000079_post_disaster.png,destroyed,no-damage
hurricane-florence_00000080_post_disaster.png,destroyed,major-damage
hurricane-florence_00000083_post_disaster.png,destroyed,un-classified
hurricane-florence_00000084_post_disaster.png,no-damage,no-damage
hurricane-florence_00000085_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000086_post_disaster.png,minor-damage,major-damage
hurricane-florence_00000088_post_disaster.png,destroyed,major-damage
hurricane-florence_00000091_post_disaster.png,no-damage,no-damage
hurricane-florence_00000094_post_disaster.png,no-damage,no-damage
hurricane-florence_00000096_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000099_post_disaster.png,no-damage,no-damage
hurricane-florence_00000100_post_disaster.png,minor-damage,major-damage
hurricane-florence_00000101_post_disaster.png,no-damage,major-damage
hurricane-florence_00000102_post_disaster.png,destroyed,major-damage
hurricane-florence_00000103_post_disaster.png,no-damage,no-damage
hurricane-florence_00000104_post_disaster.png,major-damage,no-damage
hurricane-florence_00000106_post_disaster.png,no-damage,major-damage
hurricane-florence_00000110_post_disaster.png,no-damage,no-damage
hurricane-florence_00000111_post_disaster.png,no-damage,major-damage
hurricane-florence_00000114_post_disaster.png,destroyed,major-damage
hurricane-florence_00000115_post_disaster.png,minor-damage,no-damage
hurricane-florence_00000118_post_disaster.png,destroyed,no-damage
hurricane-florence_00000120_post_disaster.png,destroyed,major-damage
hurricane-florence_00000122_post_disaster.png,minor-damage,minor-damage
hurricane-florence_00000123_post_disaster.png,minor-damage,major-damage
hurricane-florence_00000126_post_disaster.png,no-damage,minor-damage
hurricane-florence_00000132_post_disaster.png,major-damage,major-damage
hurricane-florence_00000136_post_disaster.png,no-damage,major-damage
hurricane-florence_00000138_post_disaster.png,no-damage,un-classified
hurricane-florence_00000139_post_disaster.png,destroyed,major-damage
hurricane-florence_00000140_post_disaster.png,no-damage,major-damage
hurricane-florence_00000144_post_disaster.png,destroyed,no-damage
